text,label
"Win money now!!!",spam
"Meeting at 5pm",ham
"CONGRATULATIONS you won a free iPhone click here",spam
"Can you review the quarterly report",ham
"FREE vacation deal act now limited time offer",spam
"Lunch tomorrow at the usual place",ham
"You have been selected for a cash prize",spam
"Please find attached the invoice for March",ham
"Buy now discount 90% off credit card accepted",spam
"Team standup moved to 10am tomorrow",ham
"Urgent your account will be suspended click link",spam
"Happy birthday hope you have a great day",ham
"Win a brand new car enter your details now",spam
"Updated the deployment pipeline PR ready for review",ham
"Make money from home $5000 per week guaranteed",spam
"See you at the conference next week",ham
"Special offer exclusive deal just for you today",spam
"Reminder dentist appointment Thursday 3pm",ham
"Lottery winner notification claim your prize now",spam
"The kids soccer game is at 4pm Saturday",ham
"FREE FREE FREE click now to claim your reward",spam
"Please review the attached contract before Friday",ham
"You are our lucky winner today claim $10000 now",spam
"Can we reschedule our meeting to Wednesday",ham
"Act now limited spots available buy today",spam
"Thanks for sending over the design mockups",ham
"Congratulations you qualify for a free cruise",spam
"Dinner at mom house this Sunday at 6pm",ham
"Double your income working from home click here",spam
"The project deadline has been extended to next month",ham
"Exclusive membership offer join now save 80%",spam
"Great presentation today really clear and well done",ham
"Your package is waiting click to confirm delivery",spam
"Can you pick up groceries on the way home",ham
"Unlock premium features free trial no credit card",spam
"Attached is the updated spreadsheet with Q2 data",ham
"Win big play now online casino jackpot waiting",spam
"Movie night this Friday what should we watch",ham
"Secret method to lose weight fast click here",spam
"Please confirm your attendance for the workshop",ham
"You have unclaimed funds click to verify identity",spam
"Happy anniversary hope you guys have a great time",ham
"Get rich quick investment opportunity guaranteed returns",spam
"The new office chairs arrived they are comfortable",ham
"Your credit score has changed click to view free",spam
"Running late to the meeting start without me",ham
"Miracle cure discovered doctors hate this trick",spam
"Let me know when you are free for a call",ham
"Final notice your subscription expires renew now",spam
"Picking up the kids from school at 3pm today",ham
"Flash sale everything 95% off today only hurry",spam
"The WiFi password has been changed check your email",ham
"Dear winner claim your prize money immediately",spam
"Coffee catch up tomorrow morning at the usual spot",ham
"Hot singles in your area click to meet now",spam
"Thanks for the birthday wishes everyone",ham
"Unbelievable deal brand new laptop for only $50",spam
"The plumber is coming between 2pm and 4pm",ham
"Your account has been compromised verify now urgent",spam
"Can you water the plants while we are away",ham
"Earn $500 daily with this simple trick at home",spam
"The baby slept through the night finally",ham
"Pill guaranteed to make you look 20 years younger",spam
"Road trip this weekend who is in",ham
"Nigerian prince needs your help transfer money now",spam
"Volleyball practice cancelled due to rain today",ham
"You have won a $1000 gift card click to claim",spam
"New recipe to try for dinner tonight looks good",ham
"Cheap prescription drugs online no prescription needed",spam
"Thanks for helping me move last weekend appreciate it",ham
"Congratulations your loan has been pre approved click",spam
"Book club meeting next Thursday same time and place",ham
"Work from home no experience needed earn thousands",spam
"Vet appointment for the dog is at 11am Friday",ham
"Free iPhone 16 Pro just take this survey now",spam
"The garden is looking great after the rain",ham
"Alert suspicious activity on your account login now",spam
"Happy holidays enjoy your time off see you next year",ham
"Exclusive VIP access click here before offer expires",spam
"Carpooling to the game tomorrow leave at 5pm",ham
"You are selected for a government grant apply now",spam
"New season of our favorite show starts tonight",ham
"Make $300 per hour guaranteed no skills required",spam
"Parent teacher conference next Tuesday at 4pm",ham
"Your order is delayed verify shipping address now",spam
"Just finished the marathon personal best time",ham
"Discount pharmacy save 90% on all medications today",spam
"The AC repair guy is scheduled for Monday morning",ham
"You won a free vacation to Hawaii claim now",spam
"Grocery list for the week is on the fridge",ham
"Get paid to take online surveys earn cash fast",spam
"Coach moved practice to the indoor gym today",ham
"Limited time investment double your money in 30 days",spam
"New neighbors moved in they seem really nice",ham
"Shocking video you need to see this click now",spam
"Remember to bring the dessert for the potluck",ham
"Credit card with zero interest apply now instant approval",spam
"Volunteering at the shelter this Saturday morning at 9",ham
"Free trial membership cancel anytime no hidden fees",spam
"The sunrise this morning was absolutely beautiful",ham
