text,label
"I love this product",positive
"Very bad experience",negative
"Amazing quality and fast shipping",positive
"Terrible customer service",negative
"Best purchase I ever made",positive
"Waste of money do not buy",negative
"Excellent value for the price",positive
"Product broke after one day",negative
"Highly recommend to everyone",positive
"Completely disappointed with this",negative
"Works perfectly as described",positive
"Horrible quality very cheap",negative
"Great product will buy again",positive
"Not worth the price at all",negative
"Fantastic features and easy to use",positive
"Worst product I have ever used",negative
"Really happy with my purchase",positive
"Poor build quality falls apart",negative
"Outstanding performance and design",positive
"Regret buying this completely useless",negative
"Good enough for the price",positive
"Average product nothing special",neutral
"Does what it says decent quality",positive
"Overpriced and underwhelming",negative
"Beautiful design and solid build",positive
"Arrived damaged and scratched",negative
"Super fast delivery loved it",positive
"Cheap materials broke quickly",negative
"Five stars absolutely perfect",positive
"Would not recommend to anyone",negative
"Smooth and reliable performance",positive
"Frustrating setup process terrible",negative
"My family loves this product",positive
"Stopped working after a week",negative
"Incredible sound quality amazing",positive
"Very slow and laggy experience",negative
"Perfect gift for any occasion",positive
"Returned it immediately awful",negative
"Sleek design works beautifully",positive
"Customer support was unhelpful",negative
"Exceeded all my expectations",positive
"Complete waste of time and money",negative
"Very sturdy and well made",positive
"Paint chipped on first use",negative
"Kids absolutely love this toy",positive
"Instructions were confusing and wrong",negative
"Best in its price range",positive
"Battery dies way too fast",negative
"Easy to assemble and looks great",positive
"Misleading product description false",negative
"Premium quality worth every penny",positive
"Uncomfortable and poorly designed",negative
"Wonderful addition to my kitchen",positive
"Flimsy plastic feels very cheap",negative
"Quick shipping and great packaging",positive
"Wrong item was delivered twice",negative
"Elegant and functional love it",positive
"Noisy motor very annoying sound",negative
"Perfect fit exactly what I needed",positive
"Overheats after ten minutes dangerous",negative
"Brilliant colors vibrant display",positive
"Screen cracked on arrival broken",negative
"Lightweight and easy to carry",positive
"Smells bad chemical odor awful",negative
"Great for beginners and experts",positive
"Way too complicated to use",negative
"Impressed with the build quality",positive
"Does not match the photos fake",negative
"Very intuitive and user friendly",positive
"Keeps disconnecting unreliable device",negative
"Stylish and modern appearance",positive
"Zipper broke on second use",negative
"Delicious flavor highly recommend",positive
"Tasteless and bland food product",negative
"Fast performance no complaints",positive
"Slow delivery took three weeks",negative
"Cozy and warm perfect for winter",positive
"Thin material not warm at all",negative
"Crystal clear audio quality",positive
"Static noise terrible speakers",negative
"Durable material built to last",positive
"Fell apart after one wash",negative
"Amazing value great deal",positive
"Hidden fees very dishonest",negative
"Runs smoothly no issues at all",positive
"Crashes constantly very buggy",negative
"Soft fabric comfortable fit",positive
"Itchy material causes irritation",negative
"Professional grade tools excellent",positive
"Rust appeared within a month",negative
"Simple clean and effective design",positive
"Bulky and hard to store",negative
"Refreshing taste love this drink",positive
"Expired product received disgusting",negative
"Handles heat well great cookware",positive
"Handle melted not heat resistant",negative
"Bright and energy efficient lights",positive
"Flickering lights defective product",negative
"Superb camera quality sharp images",positive
"Blurry photos terrible camera",negative
"Reliable everyday carry essential",positive
"Broke on the first drop fragile",negative
